"Title","Region","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"Tama and Friends","UN","Action,General","Tama and Friends is an Action game, developed by Advance Communication Company and published by Bandai,which was released in Japan in 1989.","n/a","5.0","n/a","Advance Communication Company","Feb 23, 1989 ","http://www.gamefaqs.com/famicomds/579410-tama-and-friends"
"Tama and Friends: 3 Choume Daibouken","JP","Action,General","Tama and Friends is an Action game, developed by Advance Communication Company and published by Bandai,which was released in Japan in 1989.","n/a","5.0","n/a","Advance Communication Company","Feb 23, 1989 ","http://www.gamefaqs.com/famicomds/579410-tama-and-friends"
"Tama and Friends","UN","Action,General","Tama and Friends is an Action game, developed by Advance Communication Company and published by Bandai,which was released in Japan in 1989.","n/a","5.0","n/a","Advance Communication Company","Feb 23, 1989 ","http://www.gamefaqs.com/famicomds/579410-tama-and-friends"
"Tama and Friends: 3 Choume Daibouken","JP","Action,General","Tama and Friends is an Action game, developed by Advance Communication Company and published by Bandai,which was released in Japan in 1989.","n/a","5.0","n/a","Advance Communication Company","Feb 23, 1989 ","http://www.gamefaqs.com/famicomds/579410-tama-and-friends"
"Tanikawa Koji no Shogi Shinan II","UN","Miscellaneous,Board Games","Tanikawa Koji no Shogi Shinan II is a Miscellaneous game, published by Pony Canyon,which was released in Japan in 1987.","n/a","n/a","n/a","Pony Canyon","Nov 13, 1987 ","http://www.gamefaqs.com/famicomds/578507-tanikawa-koji-no-shogi-shinan-ii"
"Tanigawa Kouji no Shogi Shinan II: Meijin e no Michi","JP","Miscellaneous,Board Games","Tanikawa Koji no Shogi Shinan II is a Miscellaneous game, published by Pony Canyon,which was released in Japan in 1987.","n/a","n/a","n/a","Pony Canyon","Nov 13, 1987 ","http://www.gamefaqs.com/famicomds/578507-tanikawa-koji-no-shogi-shinan-ii"
"Tanigawa Kouji no Shogi Shinan II: Tsume no Shogi","UN","Miscellaneous,Board Games","Tanigawa Kouji no Shogi Shinan II: Tsume no Shogi is a Miscellaneous game, developed and published by Pony Canyon,which was released in Japan in 1988.","n/a","n/a","n/a","Pony Canyon","Aug 10, 1988 ","http://www.gamefaqs.com/famicomds/578637-tanigawa-kouji-no-shogi-shinan-ii-tsume-no-shogi"
"Tanikawa Koji no Shogi Shinan II","UN","Miscellaneous,Board Games","Tanikawa Koji no Shogi Shinan II is a Miscellaneous game, published by Pony Canyon,which was released in Japan in 1987.","n/a","n/a","n/a","Pony Canyon","Nov 13, 1987 ","http://www.gamefaqs.com/famicomds/578507-tanikawa-koji-no-shogi-shinan-ii"
"Tanigawa Kouji no Shogi Shinan II: Meijin e no Michi","JP","Miscellaneous,Board Games","Tanikawa Koji no Shogi Shinan II is a Miscellaneous game, published by Pony Canyon,which was released in Japan in 1987.","n/a","n/a","n/a","Pony Canyon","Nov 13, 1987 ","http://www.gamefaqs.com/famicomds/578507-tanikawa-koji-no-shogi-shinan-ii"
"Tantei Jinguuji Saburo: Kiken na Futari (Zenpen)","UN","Adventure,First-Person,Modern","Tantei Jinguuji Saburo: Kiken na Futari (Zenpen) is an Adventure game, developed by SAS Sakata and published by Data East,which was released in Japan in 1988.","n/a","5.0","n/a","SAS Sakata","Dec9, 1988 ","http://www.gamefaqs.com/famicomds/579380-tantei-jinguuji-saburo-kiken-na-futari-zenpen"
"Tantei Jinguuji Saburo: Kiken na Futari","JP","Adventure,First-Person,Modern","Tantei Jinguuji Saburo: Kiken na Futari (Zenpen) is an Adventure game, developed by SAS Sakata and published by Data East,which was released in Japan in 1988.","n/a","5.0","n/a","SAS Sakata","Dec9, 1988 ","http://www.gamefaqs.com/famicomds/579380-tantei-jinguuji-saburo-kiken-na-futari-zenpen"
"Tantei Jinguuji Saburo: Kiken na Futari (Kouhen)","UN","Adventure,First-Person,Modern","Tantei Jinguuji Saburo: Kiken na Futari (Kouhen) is an Adventure game, developed by SAS Sakata and published by Data East,which was released in Japan in 1989.","n/a","n/a","n/a","SAS Sakata","Feb 10, 1989 ","http://www.gamefaqs.com/famicomds/579408-tantei-jinguuji-saburo-kiken-na-futari-kouhen"
"Tantei Jinguuji Saburo: Kiken na Futari","JP","Adventure,First-Person,Modern","Tantei Jinguuji Saburo: Kiken na Futari (Kouhen) is an Adventure game, developed by SAS Sakata and published by Data East,which was released in Japan in 1989.","n/a","n/a","n/a","SAS Sakata","Feb 10, 1989 ","http://www.gamefaqs.com/famicomds/579408-tantei-jinguuji-saburo-kiken-na-futari-kouhen"
"Tantei Jinguuji Saburo: Shinjuku Chuuou Kouen Satsujin Jiken","UN","Adventure,General","Tantei Jinguuji Saburo: Shinjuku Chuuou Kouen Satsujin Jiken is an Adventure game, developed by SAS Sakata and published by Data East,which was released in Japan in 1987.","n/a","8.0","n/a","SAS Sakata","Apr 27, 1987 ","http://www.gamefaqs.com/famicomds/578409-tantei-jinguuji-saburo-shinjuku-chuuou-kouen"
"Tarot Uranai","UN","Miscellaneous,General","Tarot Uranai is a Miscellaneous game, developed and published by Scorpion Soft,which was released in Japan in 1988.","n/a","n/a","n/a","Scorpion Soft","Dec 23, 1988 ","http://www.gamefaqs.com/famicomds/579384-tarot-uranai"
"Tennis","UN","Sports,Traditional,Tennis","Slam a serve, fire a blazing backhand, smash a forehand volley... you call the shots in Nintendo TENNIS! Nintendo lets you choose an opponent from five different skill levels, so as your game improves, so does your playing partner! Plus, you can actually gauge the speed of your serve! The better your timing, the faster it moves across the net. You'll have hours of fun rushing the net, playing the baseline or roaming the court. With Nintendo's state-of-the-art graphics and realistic game play, you'll really believe you're at center court!","n/a","7.0","n/a","Nintendo","Feb 21, 1986 ","http://www.gamefaqs.com/famicomds/920978-tennis"
"Time Twist: Rekishi no Katasumi de... - Kouhen","UN","Adventure,General","Time Twist: Rekishi no Katasumi de... - Kouhen is an Adventure game, developed by Pax Softonica and published by Nintendo,which was released in Japan in 1991.","n/a","7.0","n/a","Pax Softonica","Jul 26, 1991 ","http://www.gamefaqs.com/famicomds/570527-time-twist-rekishi-no-katasumi-de-kouhen"
"Time Twist: Rekishi no Katasumi de... - Zenpen","UN","Adventure,General","Time Twist: Rekishi no Katasumi de... - Zenpen is an Adventure game, developed by Pax Softonica and published by Nintendo,which was released in Japan in 1991.","n/a","10.0","n/a","Pax Softonica","Jul 26, 1991 ","http://www.gamefaqs.com/famicomds/570525-time-twist-rekishi-no-katasumi-de-zenpen"
"Titanic Mystery","UN","Adventure,General","Titanic Mystery is an Adventure game, developed and published by Gakken,which was released in Japan in 1987.","n/a","n/a","n/a","Gakken","Jul 24, 1987 ","http://www.gamefaqs.com/famicomds/578452-titanic-mystery"
"Titanic Mystery: Ao no Senritsu","JP","Adventure,General","Titanic Mystery is an Adventure game, developed and published by Gakken,which was released in Japan in 1987.","n/a","n/a","n/a","Gakken","Jul 24, 1987 ","http://www.gamefaqs.com/famicomds/578452-titanic-mystery"
"Titanic Mystery","UN","Adventure,General","Titanic Mystery is an Adventure game, developed and published by Gakken,which was released in Japan in 1987.","n/a","n/a","n/a","Gakken","Jul 24, 1987 ","http://www.gamefaqs.com/famicomds/578452-titanic-mystery"
"Titanic Mystery: Ao no Senritsu","JP","Adventure,General","Titanic Mystery is an Adventure game, developed and published by Gakken,which was released in Japan in 1987.","n/a","n/a","n/a","Gakken","Jul 24, 1987 ","http://www.gamefaqs.com/famicomds/578452-titanic-mystery"
"Tobidase Daisakusen","UN","Action,General","Tobidase Daisakusen is an Action game, developed and published by SquareSoft,which was released in Japan in 1987.","n/a","7.0","n/a","SquareSoft","Mar 12, 1987 ","http://www.gamefaqs.com/famicomds/578391-tobidase-daisakusen"
"Topple Zip","UN","Driving,Racing,Arcade","Topple Zip is a Driving game, developed and published by Bothtec,which was released in Japan in 1987.","n/a","n/a","n/a","Bothtec","Oct9, 1987 ","http://www.gamefaqs.com/famicomds/578495-topple-zip"
"Transformers: The Headmasters","UN","Action,Shooter,Scrolling","Transformers: The Headmasters is an Action game, developed and published by Takara,which was released in Japan in 1987.","n/a","4.0","n/a","Takara","Aug 28, 1987 ","http://www.gamefaqs.com/famicomds/578471-transformers-the-headmasters"
"TwinBee","UN","Action,Shooter,Scrolling","TwinBee is an Action game, developed and published by Konami,which was released in Japan in 1988.","n/a","7.0","n/a","Konami","Mar 11, 1988 ","http://www.gamefaqs.com/famicomds/922349-twinbee"
"Ultraman 2","UN","Action,General","Ultraman 2 is an Action game, published by Bandai,which was released in Japan in 1987.","n/a","n/a","n/a","Bandai","Dec 18, 1987 ","http://www.gamefaqs.com/famicomds/578516-ultraman-2"
"Ultraman 2: Shutsugeki Katoku Tai!!","JP","Action,General","Ultraman 2 is an Action game, published by Bandai,which was released in Japan in 1987.","n/a","n/a","n/a","Bandai","Dec 18, 1987 ","http://www.gamefaqs.com/famicomds/578516-ultraman-2"
"Ultraman 2","UN","Action,General","Ultraman 2 is an Action game, published by Bandai,which was released in Japan in 1987.","n/a","n/a","n/a","Bandai","Dec 18, 1987 ","http://www.gamefaqs.com/famicomds/578516-ultraman-2"
"Ultraman 2: Shutsugeki Katoku Tai!!","JP","Action,General","Ultraman 2 is an Action game, published by Bandai,which was released in Japan in 1987.","n/a","n/a","n/a","Bandai","Dec 18, 1987 ","http://www.gamefaqs.com/famicomds/578516-ultraman-2"
"Ultraman Club: Chikyuu Dakkan Sakusen","UN","Role-Playing,Console-style RPG","Ultraman Club: Chikyuu Dakkan Sakusen is a Role-Playing game, developed by Interlink and published by Bandai,which was released in Japan in 1988.","n/a","n/a","n/a","Interlink","Oct 22, 1988 ","http://www.gamefaqs.com/famicomds/579341-ultraman-club-chikyuu-dakkan-sakusen"
"Ultraman: Kaijuu Teikoku no Gyakushuu","UN","Action,General","Ultraman: Kaijuu Teikoku no Gyakushuu is an Action game, published by Bandai,which was released in Japan in 1987.","n/a","7.5","n/a","Bandai","Jan 29, 1987 ","http://www.gamefaqs.com/famicomds/578371-ultraman-kaijuu-teikoku-no-gyakushuu"
"Volleyball","UN","Sports,Traditional,Volleyball","Slam the perfect serve. Spike the game-winning point. Make the save that saves the game! It's all up to you. Because you call the shots in Nintendo VOLLEY-BALL. You'll start by selecting a team from the country of your choice. As Captain, you'll lead your team through a fast-paced warm-up round, then quickly move into the heat of real volleyball competition. You'll decide when to spike, when to lob, when to make a diving save - everything just like the captain of a real volleyball team! Play against a friend or challenge the computer. Either way, Nintendo's true-to-life graphics and realistic game play will bring all the fun and excitement of voleyball right into your home!","n/a","7.0","n/a","Pax Softonica","Jul 21, 1986 ","http://www.gamefaqs.com/famicomds/937896-volleyball"
"Vs. Excitebike","UN","Driving,Racing,Motorcycle,Motocross","Vs. Excitebike is a Driving game, developed by Pax Softonica and published by Nintendo,which was released in Japan in 1988.","7.0","9.0","n/a","Pax Softonica","Dec9, 1988 ","http://www.gamefaqs.com/famicomds/920956-vs-excitebike"
"Wakusei Aton Gaiden","UN","Miscellaneous,General","Wakusei Aton Gaiden is a Miscellaneous game, developed and published by Kokuzeichou,which was released in Japan in 1990.","n/a","n/a","n/a","Kokuzeichou","November 1990 ","http://www.gamefaqs.com/famicomds/671076-wakusei-aton-gaiden"
"Wardner no Mori","UN","Action,General","Wardner no Mori is an Action game, developed and published by Taito Corporation,which was released in Japan in 1988.","n/a","n/a","n/a","Taito Corporation","Mar 25, 1988 ","http://www.gamefaqs.com/famicomds/578563-wardner-no-mori"
"Winter Games","UN","Sports,Olympic Sports","It's all here - the strategy, the challenge, the competition and the pageantry of the Winter Games. Compete against a friend or take on the computer in four completely realistic and action-packed events. Choose the country you want to represent. Then practice, train and develop the winning strategy for each competition... Speed Skating in a grueling race on ice. Hot Dog Aerials for daredevils on skis. Figure Skating to test balance, stamina and precision. Bobsled, where every screaming turn could mean the difference between wiping out and winning gold. Your adrenaline and heart are racing. Let the games begin!","n/a","n/a","n/a","Atelier Double","Mar 27, 1987 ","http://www.gamefaqs.com/famicomds/922343-winter-games"
"Wrecking Crew","UN","Action,Platformer,2D","This amazing Nintendo Programmable game lets you design your own building, place obstacles wherever you want them, and then blow everything to smithereens! You can play the game as designed by Nintendo, or you can be the game designer and build a different maze of barriers to tear down every time. You'll have hours of fun demolishing monsters like Gotchawrench and Eggplant Man, and blowing up a building you built yourself, in this off-the-wall demolition game!","n/a","5.9","n/a","Nintendo","Feb3, 1989 ","http://www.gamefaqs.com/famicomds/922353-wrecking-crew"
"Xevious","UN","Action,Shooter,Scrolling","Mission: Seek and destroy XEVIOUS enemy aircraft and bases. Equipment: Fighter plane with laser-pulse anti-aircraft missiles and bombs. Skillfully manuever your fighter through treacherous air space to gain the strike advantage.","n/a","n/a","n/a","Namco","May 18, 1990 ","http://www.gamefaqs.com/famicomds/922347-xevious"
"Youkai Yashiki","UN","Action,General","Youkai Yashiki is an Action game, developed and published by Irem,which was released in Japan in 1987.","n/a","7.0","n/a","Irem","Oct 23, 1987 ","http://www.gamefaqs.com/famicomds/578497-youkai-yashiki"
"Yume Koujou: Doki Doki Panic","UN","Action,Platformer,2D","Yume Koujou: Doki Doki Panic is an Action game, developed by Nintendo and published by Fuji Television,which was released in Japan in 1987.","6.8","7.9","","Nintendo","Jul 10, 1987 ","http://www.gamefaqs.com/famicomds/578449-yume-koujou-doki-doki-panic"
"Yuu Maze","UN","Action,General","Yuu Maze is an Action game, developed by Daiei Seisakusho and published by Taito Corporation,which was released in Japan in 1988.","n/a","6.0","n/a","Daiei Seisakusho","Oct 28, 1988 ","http://www.gamefaqs.com/famicomds/579342-yuu-maze"
"Zanac AI","UN","Action,Shooter,Scrolling","The 'system' was created by an organic intelligence body many milleniums ago and began attacking the human race. The earth was thrown into turmoil with only one hope for salvation. Fighter model AFX-6502 ZANAC was perfected by the 256th Riot Fleet to ward off the enemy system. It's your job, as ZANAC, to save the human race. Using eight special weapons and secret power forces buried along the way, guide ZANAC through 12 screens of enemy creatures to victory.","n/a","9.0","n/a","Compile","Nov 28, 1986 ","http://www.gamefaqs.com/famicomds/921018-zanac-ai"
"Zelda no Densetsu: The Hyrule Fantasy","UN","Action Adventure,Fantasy","Ganon, the King of Evil, breaks free from the Dark World and captures Hyrule's beloved Princess Zelda. Before she is caught, Zelda manages to shatter the Triforce of Wisdom and scatter its eight pieces throughout Hyrule. Link swears to recover the Triforce pieces and rescue Princess Zelda from Ganon's clutches.","9.6","8.3","n/a","Nintendo","Feb 21, 1986 ","http://www.gamefaqs.com/famicomds/578278-zelda-no-densetsu-the-hyrule-fantasy"
"Zelda no Densetsu","JP","Action Adventure,Fantasy","Ganon, the King of Evil, breaks free from the Dark World and captures Hyrule's beloved Princess Zelda. Before she is caught, Zelda manages to shatter the Triforce of Wisdom and scatter its eight pieces throughout Hyrule. Link swears to recover the Triforce pieces and rescue Princess Zelda from Ganon's clutches.","9.6","8.3","n/a","Nintendo","Feb 21, 1986 ","http://www.gamefaqs.com/famicomds/578278-zelda-no-densetsu-the-hyrule-fantasy"
"Zelda no Densetsu: The Hyrule Fantasy","UN","Action Adventure,Fantasy","Ganon, the King of Evil, breaks free from the Dark World and captures Hyrule's beloved Princess Zelda. Before she is caught, Zelda manages to shatter the Triforce of Wisdom and scatter its eight pieces throughout Hyrule. Link swears to recover the Triforce pieces and rescue Princess Zelda from Ganon's clutches.","9.6","8.3","n/a","Nintendo","Feb 21, 1986 ","http://www.gamefaqs.com/famicomds/578278-zelda-no-densetsu-the-hyrule-fantasy"
"Zelda no Densetsu","JP","Action Adventure,Fantasy","Ganon, the King of Evil, breaks free from the Dark World and captures Hyrule's beloved Princess Zelda. Before she is caught, Zelda manages to shatter the Triforce of Wisdom and scatter its eight pieces throughout Hyrule. Link swears to recover the Triforce pieces and rescue Princess Zelda from Ganon's clutches.","9.6","8.3","n/a","Nintendo","Feb 21, 1986 ","http://www.gamefaqs.com/famicomds/578278-zelda-no-densetsu-the-hyrule-fantasy"
"19: Neunzehn","UN","Strategy,Breeding/Constructing","19: Neunzehn is a Strategy game, developed and published by Soft Pro,which was released in Japan in 1988.","n/a","7.0","n/a","Soft Pro","Mar4, 1988 ","http://www.gamefaqs.com/famicomds/578560-19-neunzehn"
